ApsimVersion = 7.9 r0
Title = Masarik_CC_300N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile AnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()               ()
     31/12/1994           1994        952.000        650.000        300.000            343.862                37.8          10.985          108.999
     31/12/1995           1995        922.000        545.000        300.000            405.436                31.3           7.725           47.508
     31/12/1996           1996        824.000        532.000        300.000            221.724                16.9           7.639          112.068
     31/12/1997           1997        818.000        564.000        300.000            436.795                38.6           8.826           47.150
     31/12/1998           1998       1023.000        561.000        300.000            275.924                19.9           7.225          192.634
     31/12/1999           1999        965.000        539.000        300.000            412.555                65.4          15.851          139.369
     31/12/2000           2000       1108.000        785.000        300.000            434.084                88.3          20.350          117.636
     31/12/2001           2001       1148.000        773.000        300.000            447.439               100.5          22.455           86.516
     31/12/2002           2002        745.000        409.000        300.000            335.576                74.3          22.133          207.733
     31/12/2003           2003        904.000        416.000        300.000            366.102               103.5          28.278          142.888
     31/12/2004           2004       1072.000        730.000        300.000            430.068               118.4          27.530           89.719
     31/12/2005           2005        739.000        439.000        300.000            296.891                80.9          27.264          227.275
     31/12/2006           2006       1081.000        679.000        300.000            437.357               132.2          30.216          158.863
     31/12/2007           2007       1127.000        733.000        300.000            386.811               109.8          28.380          193.626
     31/12/2008           2008       1272.000        713.000        300.000            506.553               129.9          25.651          123.303
     31/12/2009           2009       1009.000        516.000        300.000            435.559               106.5          24.447           98.893
     31/12/2010           2010       1110.000        834.000        300.000            413.975               117.4          28.365          151.829
     31/12/2011           2011        867.000        407.000        300.000            381.046               115.2          30.229          165.387
     31/12/2012           2012        705.500        378.000        300.000            270.492                99.9          36.933          200.072
     31/12/2013           2013       1051.000        525.000        300.000            450.898               152.0          33.700          156.019
     31/12/2014           2014        914.000        546.000        300.000            374.678               109.8          29.303          107.187
     31/12/2015           2015       1014.000        591.000        300.000            375.939               124.8          33.208          189.078
     31/12/2016           2016       1138.500        832.000        300.000            400.346               129.6          32.373          168.842
     31/12/2017           2017        939.000        509.000        300.000            395.185               108.0          27.327          157.909
     31/12/2018           2018       1193.000        768.000        300.000            445.553               137.0          30.744          173.335
     31/12/2019           2019       1246.000        719.000        300.000            499.259               136.4          27.312           96.614
