ApsimVersion = 7.9 r0
Title = Masarik_CC_0N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        952.000        650.000          0.000            343.862                37.8          10.985                   0.000               108.999
     31/12/1995           1995        922.000        545.000          0.000            405.436                31.3           7.725                  47.508                 0.000
     31/12/1996           1996        824.000        532.000          0.000            221.724                16.9           7.639                   0.000               112.068
     31/12/1997           1997        818.000        564.000          0.000            436.795                38.6           8.826                  47.150                 0.000
     31/12/1998           1998       1023.000        561.000          0.000            275.924                19.9           7.225                   0.000               192.634
     31/12/1999           1999        965.000        539.000          0.000            483.183                49.4          10.224                   0.000                37.461
     31/12/2000           2000       1108.000        785.000          0.000            435.489                 7.2           1.648                   0.000                55.732
     31/12/2001           2001       1148.000        773.000          0.000            497.274                 5.3           1.056                   0.000                27.897
     31/12/2002           2002        745.000        409.000          0.000            342.362                 1.9           0.565                   0.000                81.597
     31/12/2003           2003        904.000        416.000          0.000            353.625                 1.8           0.504                   0.000                64.294
     31/12/2004           2004       1072.000        730.000          0.000            468.051                 3.9           0.835                   0.000                17.295
     31/12/2005           2005        739.000        439.000          0.000            311.523                 2.5           0.795                   0.000                68.006
     31/12/2006           2006       1081.000        679.000          0.000            443.351                 3.9           0.884                   0.000                61.061
     31/12/2007           2007       1127.000        733.000          0.000            472.311                 1.5           0.316                   0.000                34.439
     31/12/2008           2008       1272.000        713.000          0.000            505.173                 4.2           0.838                   0.000                35.737
     31/12/2009           2009       1009.000        516.000          0.000            432.379                 1.0           0.238                   0.000                19.578
     31/12/2010           2010       1110.000        834.000          0.000            430.676                 1.3           0.295                   0.000                30.956
     31/12/2011           2011        867.000        407.000          0.000            369.729                 1.5           0.393                   0.000                61.494
     31/12/2012           2012        705.500        378.000          0.000            260.016                 1.5           0.588                   0.000                53.676
     31/12/2013           2013       1051.000        525.000          0.000            476.669                 3.5           0.738                   0.000                18.544
     31/12/2014           2014        914.000        546.000          0.000            405.990                 1.0           0.257                   0.000                 6.630
     31/12/2015           2015       1014.000        591.000          0.000            381.482                 0.9           0.234                   0.000                30.028
     31/12/2016           2016       1138.500        832.000          0.000            460.595                 1.0           0.210                   0.000                11.031
     31/12/2017           2017        939.000        509.000          0.000            396.383                 1.4           0.350                   0.000                27.539
     31/12/2018           2018       1193.000        768.000          0.000            523.263                 1.0           0.183                   0.000                16.555
     31/12/2019           2019       1246.000        719.000          0.000            514.889                 1.3           0.253                   0.000                11.108
