ApsimVersion = 7.9 r0
Title = Kladivko_CC_0N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994       1015.000        394.000          0.000            132.897                12.8           9.633                   0.000               194.869
     31/12/1995           1995       1221.000        556.000          0.000            171.833                 8.1           4.734                  25.099                 0.000
     31/12/1996           1996       1431.000        431.000          0.000            168.406                10.7           6.341                   0.000               189.213
     31/12/1997           1997       1170.000        592.000          0.000            283.055                 3.0           1.058                  22.316                 0.000
     31/12/1998           1998       1294.000        614.000          0.000             33.705                 1.1           3.136                   0.000               171.752
     31/12/1999           1999        946.000        354.000          0.000            143.899                 2.6           1.837                   0.000                 4.050
     31/12/2000           2000       1400.000        736.000          0.000            157.566                 2.9           1.864                   0.000                66.424
     31/12/2001           2001       1285.000        851.000          0.000            131.758                 2.7           2.075                   0.000                 2.391
     31/12/2002           2002       1401.000        563.000          0.000            264.721                 4.0           1.495                   0.000                74.450
     31/12/2003           2003       1319.000        709.000          0.000            148.693                 1.6           1.107                   0.000                16.690
     31/12/2004           2004       1383.500        753.000          0.000            218.807                 3.2           1.461                   0.000                28.890
     31/12/2005           2005       1240.000        597.000          0.000            138.569                 2.3           1.629                   0.000                33.375
     31/12/2006           2006       1535.000        801.000          0.000            231.927                 2.9           1.239                   0.000                42.411
     31/12/2007           2007       1138.000        467.000          0.000            198.800                 3.6           1.794                   0.000                26.680
     31/12/2008           2008       1515.000        613.000          0.000            290.084                 4.0           1.388                   0.000                34.445
     31/12/2009           2009       1395.000        890.000          0.000            114.617                 0.5           0.394                   0.000                16.047
     31/12/2010           2010        964.000        496.000          0.000             73.654                 2.6           3.540                   0.000                34.911
     31/12/2011           2011       1489.000        403.000          0.000            410.243                 5.4           1.322                   0.000                37.489
     31/12/2012           2012        981.000        463.000          0.000             63.713                 0.7           1.053                   0.000                35.284
     31/12/2013           2013       1237.000        550.000          0.000            130.861                 1.8           1.372                   0.000                26.937
     31/12/2014           2014       1271.000        674.000          0.000            124.764                 1.4           1.152                   0.000                20.973
     31/12/2015           2015       1390.000        710.000          0.000            206.660                 2.0           0.961                   0.000                28.999
     31/12/2016           2016       1305.000        674.000          0.000            127.466                 0.7           0.584                   0.000                31.045
     31/12/2017           2017       1413.000        656.000          0.000            196.738                 3.5           1.759                   0.000                39.981
     31/12/2018           2018       1487.000        737.000          0.000            225.050                 3.1           1.380                   0.000                12.250
     31/12/2019           2019       1419.000        497.000          0.000            299.912                 3.5           1.169                   0.000                21.721
