ApsimVersion = 7.9 r0
Title = Masarik_CC_112N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994        952.000        650.000        112.000            343.862                37.8          10.985                   0.000               108.999
     31/12/1995           1995        922.000        545.000        112.000            405.436                31.3           7.725                  47.508                 0.000
     31/12/1996           1996        824.000        532.000        112.000            221.724                16.9           7.639                   0.000               112.068
     31/12/1997           1997        818.000        564.000        112.000            436.795                38.6           8.826                  47.150                 0.000
     31/12/1998           1998       1023.000        561.000        112.000            275.924                19.9           7.225                   0.000               192.634
     31/12/1999           1999        965.000        539.000        112.000            414.646                50.4          12.153                   0.000               137.664
     31/12/2000           2000       1108.000        785.000        112.000            446.813                18.7           4.195                   0.000               104.317
     31/12/2001           2001       1148.000        773.000        112.000            470.178                10.2           2.163                   0.000                84.231
     31/12/2002           2002        745.000        409.000        112.000            347.834                 4.3           1.237                   0.000               173.311
     31/12/2003           2003        904.000        416.000        112.000            386.875                 3.8           0.979                   0.000               124.510
     31/12/2004           2004       1072.000        730.000        112.000            452.723                13.8           3.058                   0.000                71.873
     31/12/2005           2005        739.000        439.000        112.000            306.090                 5.9           1.920                   0.000               188.126
     31/12/2006           2006       1081.000        679.000        112.000            445.529                 9.6           2.162                   0.000               156.557
     31/12/2007           2007       1127.000        733.000        112.000            403.605                 3.5           0.866                   0.000               168.027
     31/12/2008           2008       1272.000        713.000        112.000            533.334                14.9           2.800                   0.000               103.641
     31/12/2009           2009       1009.000        516.000        112.000            441.609                 3.9           0.892                   0.000                99.291
     31/12/2010           2010       1110.000        834.000        112.000            430.956                11.9           2.772                   0.000               136.870
     31/12/2011           2011        867.000        407.000        112.000            390.742                 9.0           2.303                   0.000               164.119
     31/12/2012           2012        705.500        378.000        112.000            276.567                 7.6           2.732                   0.000               211.184
     31/12/2013           2013       1051.000        525.000        112.000            470.855                12.9           2.747                   0.000               136.350
     31/12/2014           2014        914.000        546.000        112.000            400.915                 6.9           1.714                   0.000                91.935
     31/12/2015           2015       1014.000        591.000        112.000            384.299                 4.9           1.284                   0.000               185.226
     31/12/2016           2016       1138.500        832.000        112.000            419.538                 5.4           1.285                   0.000               161.381
     31/12/2017           2017        939.000        509.000        112.000            413.095                 9.6           2.334                   0.000               152.189
     31/12/2018           2018       1193.000        768.000        112.000            460.745                 5.3           1.150                   0.000               171.128
     31/12/2019           2019       1246.000        719.000        112.000            515.558                 7.1           1.386                   0.000                90.366
