ApsimVersion = 7.9 r0
Title = Hoffman_CS_224N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994       1013.000        482.000        224.000            256.603                16.2           6.320                  64.831                 0.000
     31/12/1995           1995        794.000        359.000        224.000             78.435                 4.1           5.169                   0.000               125.351
     31/12/1996           1996        997.000        495.000        224.000            371.571                17.1           4.594                  66.281                 0.000
     31/12/1997           1997        838.000        365.000        224.000            140.943                 4.4           3.114                   0.000               146.201
     31/12/1998           1998       1112.000        567.000        224.000            456.896                14.8           3.249                  59.652                 0.000
     31/12/1999           1999        847.000        395.000        224.000             76.265                 1.4           1.875                   0.000               167.764
     31/12/2000           2000        970.000        625.000        224.000            208.933                24.7          11.802                  55.264                 0.000
     31/12/2001           2001        977.000        650.000        224.000            142.157                30.0          21.132                   0.000               166.277
     31/12/2002           2002        960.000        428.000        224.000            412.913                59.9          14.516                  52.072                 0.000
     31/12/2003           2003       1133.000        695.000        224.000             84.106                22.3          26.506                   0.000               166.696
     31/12/2004           2004       1117.000        707.000        224.000            515.193                54.4          10.562                  67.069                 0.000
     31/12/2005           2005        990.000        544.000        224.000            202.116                13.2           6.540                   0.000               120.423
     31/12/2006           2006       1071.000        596.000        224.000            398.037                80.1          20.123                  62.972                 0.000
     31/12/2007           2007       1088.000        502.000        224.000            261.080                39.6          15.176                   0.000               124.670
     31/12/2008           2008       1159.000        598.000        224.000            524.564                68.3          13.027                  74.406                 0.000
     31/12/2009           2009       1107.000        483.000        224.000            159.342                11.6           7.299                   0.000               188.295
     31/12/2010           2010       1015.000        660.000        224.000            432.810                43.9          10.142                  41.000                 0.000
     31/12/2011           2011       1348.000        683.000        224.000            233.320                38.7          16.582                   0.000               168.788
     31/12/2012           2012        871.500        581.000        224.000            236.763                37.8          15.980                  30.732                 0.000
     31/12/2013           2013       1128.000        499.000        224.000            189.807                31.7          16.684                   0.000               166.167
     31/12/2014           2014       1287.000        754.000        224.000            642.872                83.4          12.970                  68.106                 0.000
     31/12/2015           2015       1203.000        656.000        224.000            259.536                53.7          20.695                   0.000               173.695
     31/12/2016           2016        988.500        544.000        224.000            307.838                36.4          11.810                  53.662                 0.000
     31/12/2017           2017       1279.000        702.000        224.000            243.895                37.9          15.523                   0.000               197.186
     31/12/2018           2018       1130.000        666.000        224.000            495.900                67.0          13.503                  63.021                 0.000
     31/12/2019           2019       1040.000        392.000        224.000            277.332                23.4           8.448                   0.000               161.318
