ApsimVersion = 7.9 r0
Title = Kladivko_SC_250N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994       1015.000        394.000        250.000            132.897                12.8           9.633                   0.000               194.869
     31/12/1995           1995       1221.000        556.000        250.000            171.833                 8.1           4.734                  25.099                 0.000
     31/12/1996           1996       1431.000        431.000        250.000            168.406                10.7           6.341                   0.000               189.213
     31/12/1997           1997       1170.000        592.000        250.000            283.055                 3.0           1.058                  22.316                 0.000
     31/12/1998           1998       1294.000        614.000        250.000             33.705                 1.1           3.136                   0.000               171.752
     31/12/1999           1999        946.000        354.000        250.000            150.300                 2.7           1.786                  29.413                 0.000
     31/12/2000           2000       1400.000        736.000        250.000             87.358                10.6          12.175                   0.000               177.825
     31/12/2001           2001       1285.000        851.000        250.000            111.515                 8.6           7.678                  24.802                 0.000
     31/12/2002           2002       1401.000        563.000        250.000            108.111                22.7          21.020                   0.000               178.367
     31/12/2003           2003       1319.000        699.000        250.000            173.602                14.3           8.261                  30.335                 0.000
     31/12/2004           2004       1383.500        753.000        250.000            149.589                19.6          13.102                   0.000               210.220
     31/12/2005           2005       1240.000        597.000        250.000            169.123                11.3           6.699                  28.336                 0.000
     31/12/2006           2006       1535.000        801.000        250.000            129.478                18.5          14.306                   0.000               163.106
     31/12/2007           2007       1138.000        467.000        250.000            208.784                16.9           8.092                  34.000                 0.000
     31/12/2008           2008       1515.000        613.000        250.000            154.260                14.2           9.196                   0.000               214.585
     31/12/2009           2009       1395.000        890.000        250.000            172.944                 6.4           3.678                  35.702                 0.000
     31/12/2010           2010        964.000        496.000        250.000             59.821                15.2          25.477                   0.000               188.062
     31/12/2011           2011       1489.000        403.000        250.000            444.016                24.9           5.598                  33.829                 0.000
     31/12/2012           2012        981.000        463.000        250.000             40.202                 4.0          10.003                   0.000               197.088
     31/12/2013           2013       1237.000        546.000        250.000            187.877                16.8           8.957                  31.536                 0.000
     31/12/2014           2014       1271.000        674.000        250.000             75.069                14.6          19.505                   0.000               171.762
     31/12/2015           2015       1390.000        705.000        250.000            216.734                16.5           7.619                  21.445                 0.000
     31/12/2016           2016       1305.000        674.000        250.000             10.902                 1.5          14.063                   0.000               166.391
     31/12/2017           2017       1413.000        652.000        250.000            201.602                20.2          10.014                  37.131                 0.000
     31/12/2018           2018       1487.000        737.000        250.000            156.489                18.5          11.810                   0.000               179.366
     31/12/2019           2019       1419.000        485.000        250.000            411.510                20.5           4.974                  26.960                 0.000
