ApsimVersion = 7.9 r0
Title = Hoffman_SC_250N
           Date           year     AnnualRain  InSeason_Rain         n_rate AnnualTileDrainage AnnualTileNleaching NitrateFlowTile SoybeanAnnualYield_BuAc MaizeAnnualYield_BuAc
   (dd/mm/yyyy)         (year)           (mm)           (mm)             ()               (mm)             (kg/ha)              ()                      ()                    ()
     31/12/1994           1994       1013.000        487.000        250.000            313.053                19.2           6.143                   0.000               168.410
     31/12/1995           1995        794.000        359.000        250.000            395.946                 8.6           2.167                  44.254                 0.000
     31/12/1996           1996        997.000        495.000        250.000            208.309                 3.7           1.767                   0.000               182.574
     31/12/1997           1997        838.000        356.000        250.000            492.064                 9.5           1.933                  55.629                 0.000
     31/12/1998           1998       1112.000        567.000        250.000            211.081                 3.4           1.627                   0.000               186.189
     31/12/1999           1999        847.000        395.000        250.000            399.144                11.1           2.791                  60.199                 0.000
     31/12/2000           2000        970.000        625.000        250.000             49.757                14.2          28.494                   0.000               183.196
     31/12/2001           2001        977.000        650.000        250.000            330.878                51.0          15.410                  40.526                 0.000
     31/12/2002           2002        960.000        436.000        250.000            157.058                13.1           8.342                   0.000               153.226
     31/12/2003           2003       1133.000        681.000        250.000            317.516                61.0          19.215                  56.657                 0.000
     31/12/2004           2004       1117.000        707.000        250.000            225.981                44.6          19.744                   0.000               198.014
     31/12/2005           2005        990.000        544.000        250.000            291.248                46.7          16.048                  55.018                 0.000
     31/12/2006           2006       1071.000        596.000        250.000            147.974                32.3          21.849                   0.000               171.468
     31/12/2007           2007       1088.000        502.000        250.000            367.973                65.8          17.872                  51.648                 0.000
     31/12/2008           2008       1159.000        614.000        250.000            203.468                19.3           9.486                   0.000               202.865
     31/12/2009           2009       1107.000        483.000        250.000            542.464                76.2          14.053                  70.623                 0.000
     31/12/2010           2010       1015.000        660.000        250.000             95.541                 9.7          10.162                   0.000               163.865
     31/12/2011           2011       1348.000        670.000        250.000            667.447                95.1          14.249                  63.327                 0.000
     31/12/2012           2012        871.500        581.000        250.000             76.889                 4.1           5.351                   0.000                31.296
     31/12/2013           2013       1128.000        499.000        250.000            498.321                88.1          17.678                  52.793                 0.000
     31/12/2014           2014       1287.000        800.000        250.000            325.842                55.6          17.056                   0.000               176.929
     31/12/2015           2015       1203.000        646.000        250.000            565.190                66.9          11.841                  58.258                 0.000
     31/12/2016           2016        988.500        550.000        250.000            157.554                22.1          14.045                   0.000               164.481
     31/12/2017           2017       1279.000        662.000        250.000            517.198                97.2          18.786                  78.309                 0.000
     31/12/2018           2018       1130.000        666.000        250.000            254.319                45.3          17.810                   0.000               176.081
     31/12/2019           2019       1040.000        370.000        250.000            570.609                91.4          16.014                  52.032                 0.000
